id,www,nip,czy sklep internetowy,
3,www.mayslogistic.pl,5512573345,nie,
5,www.fotodom24.pl,8992687701,nie,
7,www.coman.es,5252479186,nie,
8,www.grzybekhorbowski.pl,5372570506,nie,
16,www.libra.olsztyn.pl,7393772185,nie,
21,www.polherz.pl,6762412052,nie,
22,www.cityhomes.com.pl,5342438015,nie,
25,www.quality-hotels.pl,6772337263,nie,
35,www.greenandjoy.pl,8792616955,nie,
43,www.agrosab.pl,9182135169,nie,
44,www.sl-service.pl,5242698975,nie,
56,www.new.damart.szczecin.pl,8522242539,nie,
59,www.multiconcepts.pl,7010215220,nie,
62,www.starkagrupa.pl,7010217733,nie,
67,www.olrlegal.com,5272621339,nie,
73,www.laurenpeso.pl,6272595631,nie,
80,www.nitrogenpolska.pl,9372614128,nie,
89,www.lemurtravel.pl,5242698923,nie,
103,www.znanylekarz.pl,7010224868,nie,
113,www.karbowniklogistics.pl,8942992313,nie,
117,www.generiks.pl,7712835147,nie,
118,www.revoseals.pl,9131603991,nie,
120,www.teczowyogrod.com.pl,5213553582,nie,
122,www.multisms.com.pl,5140316757,nie,
125,www.mr-house.eu,5272620742,nie,
127,www.posmfactory.com,9512304305,nie,
129,www.astheo.eu,6762414128,nie,
134,www.wod-kan-bruk.za.pl,8262156925,nie,
137,www.mercon.pl,8883061405,nie,
138,www.expo4u.pl,5272621635,nie,
142,www.sunny4you.pl,8971759536,nie,
153,www.fallwork.pl,7811846734,nie,
159,www.biuroskarbek.pl,7542997677,nie,
160,www.porodyczestochowa.pl,5732790872,nie,
163,www.motoimperium.eu,7393775982,tak,
165,www.nieruchomoscibes.pl,6342735104,nie,
171,www.kscamper.pl,7621941286,nie,
173,www.aduma.pl,8942992201,nie,
178,www.skw.pl,6150025163,nie,
202,www.gfdpd.com.pl,7722372507,nie,
208,www.przemyslowa15.pl,6762414594,nie,
213,www.artlab.pl,5252471492,nie,
217,www.adeal.pl,5361882716,nie,
223,www.openoffice.com.pl,5252474438,nie,
232,www.lumenmax.eu,6391975363,nie,
234,www.eurochance.pl,9580986085,nie,
239,www.ceii.plwww.stronaszkoleniowa.pl,7811848147,nie,
246,www.streetcom.pl,7010224644,nie,
271,www.kuznicki-pasieka.com.pl,8942756305,nie,
273,www.isk.pl,5731029185,nie,
280,www.viamoda.edu.pl,1132791306,nie,
281,www.eltron.net.pl,5691850659,nie,
290,www.donnamarzia.com,5792211369,nie,
310,www.polskibus.com,5252475685,nie,
321,www.ecoam.pl,8513112961,nie,
330,www.ekoeg.com.pl,7133039648,nie,
331,www.enertech.com.pl,5272621210,nie,
335,www.sohogroup.pl,5272626383,nie,
339,www.towarzystwoekonomiczne.pl,6321986597,nie,
340,www.totalevents.pl,7282739983,nie,
348,www.alpida.pl,5213560197,nie,
350,www.gaklimatyzacja.pl,8961497282,nie,
351,www.fernigo.com,1132786475,nie,
352,www.centrofashion.com,5252475656,nie,
356,www.rodstudio.pl,9512304914,nie,
370,www.n-b-q.pl,8522569051,nie,
373,www.teleart.pl,8992685808,nie,
394,www.add-polska.pl,7010232922,nie,
399,www.3labs.pl,5361884626,nie,
401,www.grima.com.pl,5272618797,nie,
403,www.trakor.com.pl,5671874556,nie,
404,www.bmaf.pl,5361884201,nie,
406,www.vcpoland.pl,5213561848,nie,
409,www.auto-remont.bai.pl,7692187649,nie,
410,www.automag.com.pl,6452195270,tak,
411,www.getitfitness.pl,6912461366,nie,
417,www.sklep.redboxsport.pl,6342739160,tak,
418,www.rentpol.com.pl,6131555871,nie,
420,www.limes.op.pl,8842713035,nie,
432,www.pomniki.org,6621790438,nie,
434,www.ex-lege.pl,8951972652,nie,
435,www.logicall.pl,7542999096,nie,
439,www.sigma-ochrona.com.pl,8371788328,nie,
